serial_no,C1,C2,C3,C4,C5,C6,C8,C7
1,1,1,15200,80,6.5,24,Live,Healthy
5,5,5,44000,100,10,60,Live,Healthy
10,10,10,26100,90,7.75,42,Live,Healthy
14,14,14,31000,100,9,54,Live,Healthy
15,15,15,26100,90,7.75,42,Live,Healthy
35,35,35,16800,80,8.75,36,Live,Healthy
42,42,42,25200,90,9.5,36,Live,Unhealthy
48,48,48,17600,80,6.75,18,Live,Healthy
51,51,51,25200,90,10.5,48,Live,Healthy
56,56,56,26100,90,10.5,54,Live,Healthy
66,66,66,18900,90,9,42,Live,Healthy
67,67,67,21600,90,10.25,48,Live,Healthy
76,76,76,57600,90,9,30,Live,Healthy
78,78,78,23200,80,7.25,24,Live,Unhealthy
81,81,81,23200,80,7.25,24,Live,Unhealthy
123,123,123,21700,70,4.25,18,Live,Healthy
141,141,141,38000,100,7,30,Live,Healthy
157,157,157,16800,80,7.5,36,Live,Healthy
158,158,158,26100,90,8.75,48,Live,Healthy
160,160,160,26100,90,7.75,36,Live,Healthy
162,162,162,26100,90,7.75,36,Live,Healthy
176,176,176,23200,80,6.25,18,Live,Healthy
182,182,182,43200,90,8.25,24,Live,Healthy
186,186,186,38400,80,8,24,Live,Healthy
187,187,187,14700,70,4.75,18,Live,Healthy
191,191,191,35200,80,7.75,24,Live,Healthy
199,199,199,26600,70,5.25,18,Live,Unhealthy
200,200,200,35200,80,7.75,30,Live,Unhealthy
250,250,250,14000,50,4.5,18,Live,Unhealthy
270,270,270,25200,90,7.25,24,Live,Healthy
272,272,272,26100,90,8.25,36,Live,Healthy
275,275,275,24800,80,6.75,24,Live,Healthy
276,276,276,22400,80,7,24,Live,Unhealthy
278,278,278,34200,90,8.75,42,Live,Unhealthy
283,283,283,51300,90,9.5,42,Live,Healthy
298,298,298,14700,70,4.5,18,Live,Healthy
308,308,308,57600,90,8,42,Live,Healthy
323,323,323,31500,90,6.75,30,Live,Unhealthy
331,331,331,27900,90,5.5,18,Live,Healthy
337,337,337,16800,70,4.25,18,Live,Healthy
341,341,341,57600,90,8,36,Live,Healthy
346,346,346,27900,90,5.5,18,Live,Healthy
351,351,351,28000,80,5.5,18,Live,Unhealthy
353,353,353,57600,90,8,42,Live,Healthy
356,356,356,19600,70,5,18,Live,Unhealthy
367,367,367,20300,70,4.25,18,Live,Unhealthy
376,376,376,31500,90,7.75,42,Live,Healthy
380,380,380,31500,90,8.75,48,Live,Healthy
383,383,383,16800,80,6.5,30,Live,Healthy
384,384,384,26100,90,7.75,42,Live,Unhealthy
399,399,399,34200,90,6.75,18,Live,Unhealthy
402,402,402,17600,80,5.5,18,Live,Healthy
407,407,407,51200,80,6.75,24,Live,Healthy
412,412,412,64000,100,10.5,60,Live,Healthy
435,435,435,24500,70,4.5,18,Live,Unhealthy
456,456,456,19200,80,6.5,30,Live,Healthy
462,462,462,17100,90,6.5,24,Live,Healthy
467,467,467,19200,80,5.25,18,Live,Healthy
470,470,470,23200,80,6.5,24,Live,Healthy
476,476,476,8400,30,4.25,12,Live,Unhealthy
488,488,488,38400,80,8,24,Live,Unhealthy
501,501,501,25200,90,6.5,24,Live,Healthy
502,502,502,57600,90,8,42,Live,Healthy
517,517,517,19800,90,6.5,24,Live,Healthy
524,524,524,22400,80,8.25,30,Live,Healthy
549,549,549,19800,90,6.25,30,Live,Healthy
553,553,553,14700,70,4.25,18,Live,Healthy
564,564,564,13200,60,4.25,18,Live,Healthy
574,574,574,51200,80,7.25,24,Live,Healthy
576,576,576,30400,80,6.5,24,Live,Healthy
578,578,578,8700,30,4.25,18,Live,Unhealthy
585,585,585,31500,90,8.75,54,Live,Healthy
591,591,591,51200,80,7.75,42,Live,Unhealthy
592,592,592,19200,80,5.25,18,Live,Healthy
598,598,598,28000,80,6.5,24,Live,Healthy
602,602,602,26600,70,5.75,24,Live,Unhealthy
625,625,625,17400,60,4.5,18,Live,Healthy
635,635,635,57600,90,10,60,Live,Healthy
636,636,636,51300,90,7.75,42,Live,Healthy
642,642,642,21000,60,4.5,18,Live,Unhealthy
650,650,650,17400,60,4.5,18,Live,Unhealthy
656,656,656,15200,80,5.25,18,Live,Healthy
695,695,695,26100,90,8.5,30,Live,Healthy
6,705,705,57600,90,11.75,30,Live,
7,706,706,22400,80,7.25,18,Live,
17,716,716,15200,80,7.5,24,Live,
19,718,718,34200,90,9.75,48,Live,
20,719,719,27900,90,9.5,48,Live,
26,725,725,19800,90,8,36,Live,
27,726,726,31000,100,9.5,54,Live,
28,727,727,57000,100,11.75,60,Live,
29,728,728,34200,90,9.75,48,Live,
43,742,742,27900,90,7.5,24,Live,
51,750,750,38000,100,12.75,60,Live,
53,752,752,28000,100,11.75,60,Live,
56,755,755,19800,90,11,60,Live,
57,756,756,29000,100,11,48,Live,
60,759,759,57600,90,12,60,Live,
63,762,762,35000,100,9.75,48,Live,
67,766,766,19000,100,11,60,Live,
68,767,767,24000,100,11.5,60,Live,
69,768,768,29000,100,12,60,Live,
70,769,769,17100,90,10.75,60,Live,
71,770,770,29000,100,12,60,Live,
72,771,771,24000,100,10.5,54,Live,
75,774,774,57000,100,11.75,60,Live,
76,775,775,31500,90,9.5,54,Live,
77,776,776,34200,90,10.75,60,Live,
87,786,786,25200,90,9.25,54,Live,
88,787,787,64000,100,12.25,60,Live,
93,792,792,28000,100,10,60,Live,
94,793,793,26100,90,8.75,48,Live,
96,795,795,29000,100,10,60,Live,
97,796,796,26100,90,6.75,30,Live,
103,802,802,26100,90,10.25,60,Live,
104,803,803,29000,100,10.5,60,Live,
105,804,804,18900,90,9,54,Live,
