serial_no,C1,C2,C3,C4,C5,C6,C8,C7
1,1,1,15200,80,6.5,24,Live,Healthy
2,2,2,26100,90,6.75,30,Closed,Healthy
3,3,3,22400,80,7.5,36,,Defaulted
4,4,4,21600,90,7.5,42,,Defaulted
5,5,5,44000,100,10,60,Live,Healthy
6,6,6,11200,40,4.25,12,Closed,Healthy
7,7,7,16800,80,5.5,18,Closed,Healthy
8,8,8,19800,90,6.75,24,Closed,Healthy
9,9,9,17100,90,6.5,30,Closed,Healthy
10,10,10,26100,90,7.75,42,Live,Healthy
11,11,11,26100,90,6.75,30,Closed,Healthy
12,12,12,28000,80,6,18,Closed,Healthy
13,13,13,21600,90,6.75,24,Closed,Healthy
14,14,14,31000,100,9,54,Live,Healthy
15,15,15,26100,90,7.75,42,Live,Healthy
16,16,16,26100,90,6.75,30,,Defaulted
17,17,17,11200,40,4.25,12,Closed,Healthy
18,18,18,0,0,NULL,NULL,,None
19,19,19,11000,50,4.25,12,Closed,Healthy
20,20,20,11200,40,4.25,12,Closed,Healthy
21,21,21,11600,40,4.25,12,Closed,Healthy
22,22,22,14500,50,4.25,12,Closed,Healthy
23,23,23,0,0,NULL,NULL,,None
24,24,24,21000,60,4.5,18,Closed,Healthy
25,25,25,16800,70,4.75,18,Closed,Healthy
26,26,26,17600,80,6.75,18,Closed,Healthy
27,27,27,20300,70,6,18,Closed,Healthy
28,28,28,26400,60,6.25,24,Closed,Healthy
29,29,29,20300,70,5,18,Closed,Healthy
30,30,30,13300,70,4.75,18,Closed,Healthy
31,31,31,57600,90,9,30,Closed,Healthy
32,32,32,19600,70,5,18,Closed,Healthy
33,33,33,0,0,NULL,NULL,,None
34,34,34,14400,60,4.5,18,,Defaulted
35,35,35,16800,80,8.75,36,Live,Healthy
36,36,36,19800,90,8,24,Closed,Healthy
37,37,37,39900,70,7,24,Closed,Healthy
38,38,38,20300,70,5,18,Closed,Healthy
39,39,39,38400,80,8,24,Closed,Healthy
40,40,40,22400,80,6,18,Closed,Healthy
41,41,41,21600,90,9.25,42,,Defaulted
42,42,42,25200,90,9.5,36,Live,Unhealthy
43,43,43,25200,90,9.5,36,,Defaulted
44,44,44,22400,80,8.25,30,Closed,Healthy
45,45,45,21600,90,8.25,24,Closed,Healthy
46,46,46,16800,80,6.75,18,Closed,Healthy
47,47,47,17600,80,7.75,24,Closed,Healthy
48,48,48,17600,80,6.75,18,Live,Healthy
49,49,49,17600,80,7.75,24,Closed,Healthy
50,50,50,19800,90,8,24,Closed,Healthy
51,51,51,25200,90,10.5,48,Live,Healthy
52,52,52,16800,70,4.5,18,Closed,Healthy
53,53,53,21700,70,4.75,18,Closed,Healthy
54,54,54,19600,70,5,18,Closed,Healthy
55,55,55,11400,60,4.5,18,Closed,Healthy
56,56,56,26100,90,10.5,54,Live,Healthy
57,57,57,19800,90,8,30,Closed,Healthy
58,58,58,14000,50,4.75,18,Closed,Healthy
59,59,59,22400,80,6,18,Closed,Healthy
60,60,60,12000,50,4.5,12,Closed,Healthy
61,61,61,16800,70,4.75,18,Closed,Healthy
62,62,62,12600,60,4.75,18,Closed,Healthy
63,63,63,19600,70,5,18,Closed,Healthy
64,64,64,14400,60,4.5,18,Closed,Healthy
65,65,65,13200,60,4.5,18,Closed,Healthy
66,66,66,18900,90,9,42,Live,Healthy
67,67,67,21600,90,10.25,48,Live,Healthy
68,68,68,28000,80,6.5,18,Closed,Healthy
69,69,69,26400,60,5.25,18,Closed,Healthy
70,70,70,14400,60,4.75,12,Closed,Healthy
71,71,71,14400,60,4.75,18,Closed,Healthy
72,72,72,12600,60,4.75,12,Closed,Healthy
73,73,73,16800,70,4.75,18,Closed,Healthy
74,74,74,13300,70,4.75,18,Closed,Healthy
75,75,75,34200,90,7.75,24,Closed,Healthy
76,76,76,57600,90,9,30,Live,Healthy
77,77,77,20300,70,5,18,Closed,Healthy
78,78,78,23200,80,7.25,24,Live,Unhealthy
79,79,79,16800,60,4.75,18,Closed,Healthy
80,80,80,38400,80,8,24,Closed,Healthy
81,81,81,23200,80,7.25,24,Live,Unhealthy
82,82,82,6600,30,4.25,12,Closed,Healthy
83,83,83,21000,60,5,18,Closed,Healthy
84,84,84,43200,90,8.25,24,Closed,Healthy
85,85,85,5700,30,4.25,12,Closed,Healthy
86,86,86,8800,40,4.25,12,Closed,Healthy
87,87,87,10500,50,4.25,12,Closed,Healthy
88,88,88,17400,60,4.5,18,Closed,Healthy
89,89,89,0,0,NULL,NULL,,None
90,90,90,0,0,NULL,NULL,,None
91,91,91,0,0,NULL,NULL,,None
92,92,92,17600,80,6,18,Closed,Healthy
93,93,93,16800,60,4.75,18,Closed,Healthy
94,94,94,28000,80,7.5,24,Closed,Healthy
95,95,95,7200,30,4.25,18,,Defaulted
96,96,96,16800,60,4.5,18,Closed,Healthy
97,97,97,12600,60,4.5,18,Closed,Healthy
98,98,98,16800,60,4.5,12,Closed,Healthy
99,99,99,8800,40,4.25,12,Closed,Healthy
100,100,100,0,0,NULL,NULL,,None
101,101,101,24500,70,4.5,12,Closed,Healthy
102,102,102,7600,40,4.25,12,Closed,Healthy
103,103,103,11600,40,4.25,12,Closed,Healthy
104,104,104,11200,40,4.25,12,Closed,Healthy
105,105,105,24500,70,4.5,18,Closed,Healthy
106,106,106,0,0,NULL,NULL,,None
107,107,107,14500,50,4.25,12,Closed,Healthy
108,108,108,16800,60,4.5,12,Closed,Healthy
109,109,109,15500,50,4.5,18,Closed,Healthy
110,110,110,11200,40,4.25,12,Closed,Healthy
111,111,111,20300,70,4.75,18,Closed,Healthy
112,112,112,14000,50,4.25,12,Closed,Healthy
113,113,113,11600,40,4.25,12,Closed,Healthy
114,114,114,6300,30,4.25,12,Closed,Healthy
115,115,115,15500,50,4.5,12,Closed,Healthy
116,116,116,17400,60,4.5,12,Closed,Healthy
117,117,117,21000,60,4.5,12,Closed,Healthy
118,118,118,0,0,NULL,NULL,,None
119,119,119,14400,60,4.75,18,Closed,Healthy
120,120,120,16800,70,4.75,18,Closed,Healthy
121,121,121,9300,30,4.25,12,Closed,Healthy
122,122,122,0,0,NULL,NULL,,None
123,123,123,21700,70,4.25,18,Live,Healthy
124,124,124,24500,70,5.5,24,Closed,Healthy
125,125,125,57600,90,8,36,Closed,Healthy
126,126,126,32000,50,4.5,12,Closed,Healthy
127,127,127,0,0,NULL,NULL,,None
128,128,128,0,0,NULL,NULL,,None
129,129,129,0,0,NULL,NULL,,None
130,130,130,0,0,NULL,NULL,,None
131,131,131,8400,30,4.25,12,Closed,Healthy
132,132,132,16800,70,4.5,18,Closed,Healthy
133,133,133,14400,60,4.5,12,Closed,Healthy
134,134,134,24800,80,5.5,18,Closed,Healthy
135,135,135,0,0,NULL,NULL,,None
136,136,136,8400,40,4.25,12,Closed,Healthy
137,137,137,6300,30,4.25,12,Closed,Healthy
138,138,138,21000,60,4.75,18,Closed,Healthy
139,139,139,9600,40,4.25,12,Closed,Healthy
140,140,140,18900,90,6.5,30,Closed,Healthy
141,141,141,38000,100,7,30,Live,Healthy
142,142,142,26100,90,6.75,30,Closed,Healthy
143,143,143,28000,80,7.75,36,,Defaulted
144,144,144,24500,70,4.75,18,Closed,Healthy
145,145,145,16800,60,4.5,18,Closed,Healthy
146,146,146,14400,60,4.5,12,Closed,Healthy
147,147,147,26100,90,7.75,36,Closed,Healthy
148,148,148,29000,100,8,42,Closed,Healthy
149,149,149,26100,90,6.75,30,Closed,Healthy
150,150,150,31500,90,8,36,,Defaulted
151,151,151,26100,90,8.75,48,,Defaulted
152,152,152,18900,90,6.75,24,Closed,Healthy
153,153,153,25200,90,7.75,36,,Defaulted
154,154,154,6600,30,4.25,12,Closed,Healthy
155,155,155,26100,90,7.75,36,Closed,Healthy
156,156,156,17600,80,6.5,30,Closed,Healthy
157,157,157,16800,80,7.5,36,Live,Healthy
158,158,158,26100,90,8.75,48,Live,Healthy
159,159,159,18900,90,6.75,24,Closed,Healthy
160,160,160,26100,90,7.75,36,Live,Healthy
161,161,161,26100,90,7.75,42,,Defaulted
162,162,162,26100,90,7.75,36,Live,Healthy
163,163,163,25200,90,7.75,36,Closed,Healthy
164,164,164,23200,80,7.25,24,Closed,Healthy
165,165,165,24800,80,6.25,18,Closed,Healthy
166,166,166,19600,70,5,18,Closed,Healthy
167,167,167,22400,80,6,18,Closed,Healthy
168,168,168,16800,80,5.75,18,Closed,Healthy
169,169,169,23200,80,7.25,24,Closed,Healthy
170,170,170,11400,60,5.25,18,Closed,Healthy
171,171,171,23200,80,7.25,18,Closed,Healthy
172,172,172,23200,80,6.25,18,Closed,Healthy
173,173,173,30400,80,7.5,24,Closed,Healthy
174,174,174,3800,20,4.25,12,Closed,Healthy
175,175,175,19600,70,5,18,Closed,Healthy
176,176,176,23200,80,6.25,18,Live,Healthy
177,177,177,23200,80,6.25,18,Closed,Healthy
178,178,178,12000,50,4.5,12,Closed,Healthy
179,179,179,35200,80,7.75,24,Closed,Healthy
180,180,180,21700,70,5,18,Closed,Healthy
181,181,181,14700,70,4.75,18,Closed,Healthy
182,182,182,43200,90,8.25,24,Live,Healthy
183,183,183,20300,70,5,18,Closed,Healthy
184,184,184,21700,70,5,18,Closed,Healthy
185,185,185,24800,80,6.25,18,Closed,Healthy
186,186,186,38400,80,8,24,Live,Healthy
187,187,187,14700,70,4.75,18,Live,Healthy
188,188,188,0,0,NULL,NULL,,None
189,189,189,24800,80,6.25,18,Closed,Healthy
190,190,190,45600,80,8.25,30,Closed,Healthy
191,191,191,35200,80,7.75,24,Live,Healthy
192,192,192,20300,70,5,18,Closed,Healthy
193,193,193,20300,70,5,18,Closed,Healthy
194,194,194,10500,50,4.25,18,Closed,Healthy
195,195,195,38400,80,8,24,Closed,Healthy
196,196,196,21700,70,5,18,Closed,Healthy
197,197,197,28000,80,7.5,24,Closed,Healthy
198,198,198,23200,80,6.25,18,Closed,Healthy
199,199,199,26600,70,5.25,18,Live,Unhealthy
200,200,200,35200,80,7.75,30,Live,Unhealthy
201,201,201,13200,60,4.5,18,Closed,Healthy
202,202,202,21700,70,5,18,Closed,Healthy
203,203,203,28800,60,5.5,18,Closed,Healthy
204,204,204,20300,70,5,18,Closed,Healthy
205,205,205,51200,80,7.5,18,Closed,Healthy
206,206,206,16800,70,4.75,18,Closed,Healthy
207,207,207,16800,60,4.75,18,Closed,Healthy
208,208,208,28000,80,6.5,18,Closed,Healthy
209,209,209,23200,80,7.25,24,Closed,Healthy
210,210,210,12600,60,4.75,12,Closed,Healthy
211,211,211,7600,40,4.5,12,Closed,Healthy
212,212,212,13200,60,4.75,18,Closed,Healthy
213,213,213,23200,80,6.25,18,Closed,Healthy
214,214,214,8700,30,4.25,12,Closed,Healthy
215,215,215,21700,70,4.75,18,Closed,Healthy
216,216,216,0,0,NULL,NULL,,None
217,217,217,26100,90,7.75,36,Closed,Healthy
218,218,218,10500,50,4.25,12,Closed,Healthy
